State,LGA,PU-Name,Ward,Latitude,Longitude,APC,LP,PDP,NNPP
ZAMFARA,TSAFE,UNG. SARKIN FAWA / DAN FAKO,CHEDIYA,11.99258,6.96168,35,0,131,0
ZAMFARA,TSAFE,CHEDIYA / BAKIN KASUWA,CHEDIYA,12.41509,6.60317,28,1,172,1
ZAMFARA,TSAFE,TABKIN KAZAI II / PRIMARY SCHOOL,YAN WAREN DAJI,8.65,8.833333,113,0,11,0
ZAMFARA,TSAFE,MARKE    /  PRIMARY SCHOOL,YAN WAREN DAJI,7.07464,6.28116,127,0,53,1
ZAMFARA,ZURMI,SABON GARI  /  MUH'D A PRI. SCH.,GALADIMA/YANRUWA,12.165904,6.666069,135,0,181,4
ZAMFARA,ZURMI,KOFAR KASUWA  I / TSOHUWAR KASUWA,GALADIMA/YANRUWA,12.41509,6.60317,131,0,108,0
ZAMFARA,ZURMI,TAKALMAWA / PRIMARY SCHOOL,KANWA,7.07464,6.28116,40,0,114,0
ZAMFARA,ANKA,TUNTAJIYA PRI SCH,BAGEGA,6.46983,7.504187,42,0,18,0
ZAMFARA,BAKURA,SHIYAR MAYANCI GAMJI,DAN MANAU,12.3518,6.24898,193,0,42,0
ZAMFARA,BAKURA,GAMJI SEC. SCH,DAN MANAU,6.329575,5.598731,210,0,61,1
ZAMFARA,BIRNIN MAGAJI,JNI PRI. SCHOOL,MODOMAWA WEST,6.8777,3.3074,68,0,16,0
ZAMFARA,BUNGUDU,LANDAI/ DAN HILI,BINGI NORTH,11.29979,6.4945,39,0,32,0
ZAMFARA,BUNGUDU,MATSERI COMM PRI.SCH,BUNGUDU,11.88513,6.33419,33,0,18,0
ZAMFARA,BUNGUDU,GIDAN DAN INNA D/ FILI,FURFURI/KWAI-KWAI,12.57801,5.2949,110,0,34,0
ZAMFARA,BUNGUDU,SABON GIDA PRI.SCH,RAWAYYA/ BELA,9.95457,12.55431,0,0,2,0
ZAMFARA,BUNGUDU,YAR BACHAKA,SAMAWA,12.11441,6.23229,140,0,62,0
ZAMFARA,MARADUN,FARU /DISPENSARY,FARU / MAGAMI,12.34418,6.38639,61,2,34,0
ZAMFARA,MARADUN,SHIYAR DANKADU II/KYALETA,JANBAKO,12.11441,6.23229,117,0,20,1
ZAMFARA,TALATA MAFARA,DAN JALLABA III/ UNGUWAR ROGO/ BAKIN TRANSFORMER,SHIYAR GALADIMA,12.380732,6.738067,122,3,36,0
ZAMFARA,TALATA MAFARA,TABKIN BUSAU IV/ N.D.L.E.A.,SHIYAR GALADIMA,12.16889,6.66117,219,0,18,1
ZAMFARA,TALATA MAFARA,SHAGON TUKUR MANGO V/BAKIN YAR KOFA/MALLAMAWA,SHIYAR GALADIMA,12.45675,6.78801,133,0,34,0
